142,140-144,140-149,100-149,100-199,Salary
81,80-84,80-89,50-99,0-99,Salary
92,90-94,90-99,50-99,0-99,Salary
99,95-99,90-99,50-99,0-99,Salary
148,145-149,140-149,100-149,100-199,Salary
119,115-119,110-119,100-149,100-199,Salary
127,125-129,120-129,100-149,100-199,Salary
59,55-59,50-59,50-99,0-99,Salary
109,105-109,100-109,100-149,100-199,Salary
94,90-94,90-99,50-99,0-99,Salary
119,115-119,110-119,100-149,100-199,Salary
88,85-89,80-89,50-99,0-99,Salary
137,135-139,130-139,100-149,100-199,Salary
56,55-59,50-59,50-99,0-99,Salary
114,110-114,110-119,100-149,100-199,Salary
156,155-159,150-159,150-199,100-199,Salary
70,70-74,70-79,50-99,0-99,Salary
116,115-119,110-119,100-149,100-199,Salary
101,100-104,100-109,100-149,100-199,Salary
110,110-114,110-119,100-149,100-199,Salary
123,120-124,120-129,100-149,100-199,Salary
102,100-104,100-109,100-149,100-199,Salary
158,155-159,150-159,150-199,100-199,Salary
138,135-139,130-139,100-149,100-199,Salary
88,85-89,80-89,50-99,0-99,Salary
89,85-89,80-89,50-99,0-99,Salary
105,105-109,100-109,100-149,100-199,Salary
117,115-119,110-119,100-149,100-199,Salary
177,175-179,170-179,150-199,100-199,Salary
97,95-99,90-99,50-99,0-99,Salary
68,65-69,60-69,50-99,0-99,Salary
136,135-139,130-139,100-149,100-199,Salary
148,145-149,140-149,100-149,100-199,Salary
268,265-269,260-269,250-299,200-299,Salary
131,130-134,130-139,100-149,100-199,Salary
85,85-89,80-89,50-99,0-99,Salary
74,70-74,70-79,50-99,0-99,Salary
90,90-94,90-99,50-99,0-99,Salary
67,65-69,60-69,50-99,0-99,Salary
145,145-149,140-149,100-149,100-199,Salary
110,110-114,110-119,100-149,100-199,Salary
87,85-89,80-89,50-99,0-99,Salary
83,80-84,80-89,50-99,0-99,Salary
55,55-59,50-59,50-99,0-99,Salary
152,150-154,150-159,150-199,100-199,Salary
112,110-114,110-119,100-149,100-199,Salary
114,110-114,110-119,100-149,100-199,Salary
77,75-79,70-79,50-99,0-99,Salary
92,90-94,90-99,50-99,0-99,Salary
100,100-104,100-109,100-149,100-199,Salary
83,80-84,80-89,50-99,0-99,Salary
65,65-69,60-69,50-99,0-99,Salary
272,270-274,270-279,250-299,200-299,Salary
81,80-84,80-89,50-99,0-99,Salary
63,60-64,60-69,50-99,0-99,Salary
65,65-69,60-69,50-99,0-99,Salary
127,125-129,120-129,100-149,100-199,Salary
162,160-164,160-169,150-199,100-199,Salary
118,115-119,110-119,100-149,100-199,Salary
110,110-114,110-119,100-149,100-199,Salary
92,90-94,90-99,50-99,0-99,Salary
100,100-104,100-109,100-149,100-199,Salary
110,110-114,110-119,100-149,100-199,Salary
106,105-109,100-109,100-149,100-199,Salary
131,130-134,130-139,100-149,100-199,Salary
119,115-119,110-119,100-149,100-199,Salary
119,115-119,110-119,100-149,100-199,Salary
106,105-109,100-109,100-149,100-199,Salary
96,95-99,90-99,50-99,0-99,Salary
105,105-109,100-109,100-149,100-199,Salary
140,140-144,140-149,100-149,100-199,Salary
119,115-119,110-119,100-149,100-199,Salary
88,85-89,80-89,50-99,0-99,Salary
81,80-84,80-89,50-99,0-99,Salary
117,115-119,110-119,100-149,100-199,Salary
131,130-134,130-139,100-149,100-199,Salary
94,90-94,90-99,50-99,0-99,Salary
137,135-139,130-139,100-149,100-199,Salary
110,110-114,110-119,100-149,100-199,Salary
196,195-199,190-199,150-199,100-199,Salary
119,115-119,110-119,100-149,100-199,Salary
75,75-79,70-79,50-99,0-99,Salary
88,85-89,80-89,50-99,0-99,Salary
97,95-99,90-99,50-99,0-99,Salary
134,130-134,130-139,100-149,100-199,Salary
121,120-124,120-129,100-149,100-199,Salary
109,105-109,100-109,100-149,100-199,Salary
161,160-164,160-169,150-199,100-199,Salary
84,80-84,80-89,50-99,0-99,Salary
102,100-104,100-109,100-149,100-199,Salary
97,95-99,90-99,50-99,0-99,Salary
102,100-104,100-109,100-149,100-199,Salary
88,85-89,80-89,50-99,0-99,Salary
119,115-119,110-119,100-149,100-199,Salary
131,130-134,130-139,100-149,100-199,Salary
138,135-139,130-139,100-149,100-199,Salary
94,90-94,90-99,50-99,0-99,Salary
88,85-89,80-89,50-99,0-99,Salary
148,145-149,140-149,100-149,100-199,Salary
70,70-74,70-79,50-99,0-99,Salary
129,125-129,120-129,100-149,100-199,Salary
88,85-89,80-89,50-99,0-99,Salary
90,90-94,90-99,50-99,0-99,Salary
66,65-69,60-69,50-99,0-99,Salary
55,55-59,50-59,50-99,0-99,Salary
100,100-104,100-109,100-149,100-199,Salary
78,75-79,70-79,50-99,0-99,Salary
135,135-139,130-139,100-149,100-199,Salary
100,100-104,100-109,100-149,100-199,Salary
68,65-69,60-69,50-99,0-99,Salary
131,130-134,130-139,100-149,100-199,Salary
